URL,Dinosaur,Height,Weight
https://en.wikipedia.org/wiki/Ammosaurus,Ammosaurus,-,-
https://en.wikipedia.org/wiki/Anchisaurus,Anchisaurus,-,-
https://en.wikipedia.org/wiki/Ampelognathus,Ampelognathus,-,-
https://en.wikipedia.org/wiki/Ampelosaurus,Ampelosaurus,-,-
https://en.wikipedia.org/wiki/Amphicoelias,Amphicoelias,-,-
https://en.wikipedia.org/wiki/Amphicoelicaudia,Amphicoelicaudia,-,-
https://en.wikipedia.org/wiki/Huabeisaurus,Huabeisaurus,-,-
https://en.wikipedia.org/wiki/Amphisaurus,Amphisaurus,-,-
https://en.wikipedia.org/wiki/Amtocephale,Amtocephale,-,-
https://en.wikipedia.org/wiki/Amtosaurus,Amtosaurus,-,-
https://en.wikipedia.org/wiki/Talarurus,Talarurus,-,-
https://en.wikipedia.org/wiki/Amurosaurus,Amurosaurus,-,-
https://en.wikipedia.org/wiki/Amygdalodon,Amygdalodon,-,-
https://en.wikipedia.org/wiki/Anabisetia,Anabisetia,-,-
https://en.wikipedia.org/wiki/Analong,Analong,-,-
https://en.wikipedia.org/wiki/Anasazisaurus,Anasazisaurus,-,-
https://en.wikipedia.org/wiki/Anatosaurus,Anatosaurus,-,-
https://en.wikipedia.org/wiki/Edmontosaurus,Edmontosaurus,-,-
https://en.wikipedia.org/wiki/Anatotitan,Anatotitan,-,-
https://en.wikipedia.org/wiki/Anchiceratops,Anchiceratops,-,-
https://en.wikipedia.org/wiki/Anchiornis,Anchiornis,-,-
https://en.wikipedia.org/wiki/Andesaurus,Andesaurus,-,-
https://en.wikipedia.org/wiki/Anzu_wyliei,Anzu,-,-
https://en.wikipedia.org/wiki/Andhrasaurus,Andhrasaurus,-,-
https://en.wikipedia.org/wiki/Angaturama,Angaturama,['8 meters'],-
https://en.wikipedia.org/wiki/Irritator,Irritator,['8 meters'],-
https://en.wikipedia.org/wiki/Angloposeidon,Angloposeidon,-,-
https://en.wikipedia.org/wiki/Angolatitan,Angolatitan,-,-
https://en.wikipedia.org/wiki/Angulomastacator,Angulomastacator,-,-
https://en.wikipedia.org/wiki/Angustungui,Angustungui,-,-
https://en.wikipedia.org/wiki/Anhuilong,Anhuilong,-,-
https://en.wikipedia.org/wiki/Aniksosaurus,Aniksosaurus,-,"['65 kilograms', '35 kilograms', '45 kilograms']"
https://en.wikipedia.org/wiki/Animantarx,Animantarx,['3 meters'],-
https://en.wikipedia.org/wiki/Ankistrodon,Ankistrodon,-,-
https://en.wikipedia.org/wiki/Proterosuchid,proterosuchid,-,-
https://en.wikipedia.org/wiki/Archosauriform,archosauriform,-,-
https://en.wikipedia.org/wiki/Ankylosaurus,Ankylosaurus,-,-
https://en.wikipedia.org/wiki/Anodontosaurus,Anodontosaurus,-,-
https://en.wikipedia.org/wiki/Anomalipes,Anomalipes,-,-
https://en.wikipedia.org/wiki/Anoplosaurus,Anoplosaurus,-,-
https://en.wikipedia.org/wiki/Anserimimus,Anserimimus,-,-
https://en.wikipedia.org/wiki/Antarctopelta,Antarctopelta,['4 meters'],-
https://en.wikipedia.org/wiki/Antarctosaurus,Antarctosaurus,-,-
https://en.wikipedia.org/wiki/Anteavis,Anteavis,-,-
https://en.wikipedia.org/wiki/Antetonitrus,Antetonitrus,-,-
https://en.wikipedia.org/wiki/Anthodon_(reptile),Anthodon,-,-
https://en.wikipedia.org/wiki/Pareiasaur,pareiasaur,-,['000 kilograms']
https://en.wikipedia.org/wiki/Antrodemus,Antrodemus,-,-
https://en.wikipedia.org/wiki/Aoniraptor,Aoniraptor,-,-
https://en.wikipedia.org/wiki/Aorun,Aorun,-,-
https://en.wikipedia.org/wiki/Apatodon,Apatodon,-,-
https://en.wikipedia.org/wiki/Apatoraptor,Apatoraptor,-,-
https://en.wikipedia.org/wiki/Appalachiosaurus,Appalachiosaurus,-,['623 kilograms']
https://en.wikipedia.org/wiki/Aquilarhinus,Aquilarhinus,-,-
https://en.wikipedia.org/wiki/Aquilops,Aquilops,-,-
https://en.wikipedia.org/wiki/Arackar,Arackar,-,-
https://en.wikipedia.org/wiki/Aragosaurus,Aragosaurus,-,['25 tonnes']
https://en.wikipedia.org/wiki/Aralosaurus,Aralosaurus,-,-
https://en.wikipedia.org/wiki/Aratasaurus,Aratasaurus,-,-
https://en.wikipedia.org/wiki/Araucanoraptor,Araucanoraptor,-,-
https://en.wikipedia.org/wiki/Neuquenraptor,Neuquenraptor,-,-
https://en.wikipedia.org/wiki/Archaeoceratops,Archaeoceratops,-,-
https://en.wikipedia.org/wiki/Archaeocursor,Archaeocursor,-,-
https://en.wikipedia.org/wiki/Archaeodontosaurus,Archaeodontosaurus,-,-
https://en.wikipedia.org/wiki/Archaeopteryx,Archaeopteryx,-,-
https://en.wikipedia.org/wiki/Archaeoraptor,Archaeoraptor,-,-
https://en.wikipedia.org/wiki/Yanornis,Yanornis,-,-
https://en.wikipedia.org/wiki/Dromaeosaur,dromaeosaur,-,-
https://en.wikipedia.org/wiki/Microraptor,Microraptor,-,-
https://en.wikipedia.org/wiki/Archaeornis,Archaeornis,-,-
https://en.wikipedia.org/wiki/Archaeornithoides,Archaeornithoides,-,-
https://en.wikipedia.org/wiki/Archaeornithomimus,Archaeornithomimus,-,-
https://en.wikipedia.org/wiki/Arcovenator,Arcovenator,-,-
https://en.wikipedia.org/wiki/Arctosaurus,Arctosaurus,-,-
https://en.wikipedia.org/wiki/Arcusaurus,Arcusaurus,-,-
https://en.wikipedia.org/wiki/Ardetosaurus,Ardetosaurus,-,-
https://en.wikipedia.org/wiki/Arenysaurus,Arenysaurus,-,-
https://en.wikipedia.org/wiki/Argentinosaurus,Argentinosaurus,-,-
https://en.wikipedia.org/wiki/Argyrosaurus,Argyrosaurus,-,-
https://en.wikipedia.org/wiki/Aristosaurus,Aristosaurus,-,-
https://en.wikipedia.org/wiki/Aristosuchus,Aristosuchus,-,"['30 kilograms', '7 kilograms']"
https://en.wikipedia.org/wiki/Arizonasaurus,Arizonasaurus,-,-
https://en.wikipedia.org/wiki/Rauisuchian,rauisuchian,-,-
https://en.wikipedia.org/wiki/Arkansaurus,Arkansaurus,-,-
https://en.wikipedia.org/wiki/Arkharavia,Arkharavia,-,-
https://en.wikipedia.org/wiki/Arrhinoceratops,Arrhinoceratops,-,-
https://en.wikipedia.org/wiki/Arrudatitan,Arrudatitan,-,-
https://en.wikipedia.org/wiki/Arstanosaurus,Arstanosaurus,-,-
https://en.wikipedia.org/wiki/Asfaltovenator,Asfaltovenator,-,-
